,name,male,culture,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,popularity,identity
239,Violet,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk
240,Victor Tyrell,0,,House Tyrell,0,0,1,1,0,0,1,,0,0,0.123745819,knight
241,Walda Frey (daughter of Lothar),0,,House Frey,0,1,1,1,0,0,0,11,0,0,0.086956522,noble
242,Walda Frey (daughter of Edwyn),0,,House Frey,0,1,1,1,0,0,0,15,0,0,0.10367893,noble
243,Walda Frey (daughter of Rhaegar),0,,House Frey,0,0,0,0,0,0,0,17,0,0,0,noble
244,Walda Frey (daughter of Walton),0,,House Frey,0,0,0,0,0,0,0,25,0,0,0,noble
245,Walda Frey (daughter of Merrett),0,,House Frey,0,0,0,0,0,1,0,22,0,0,0,noble
247,Walder Frey (son of Jammos),1,,House Frey,0,0,0,0,0,0,0,14,0,0,0,noble
248,Walder Frey (son of Emmon),0,,House Frey of Riverrun,0,0,0,0,0,0,0,20,0,0,0,noble
249,Walder Frey (son of Ryman),1,Rivermen,House Frey,0,0,0,0,0,0,0,45,0,0,0,knight
250,Walder Frey (son of Merrett),1,,House Frey,0,0,0,0,0,0,0,9,0,0,0,noble
251,Wallen,0,,Night's Watch,1,0,0,0,0,0,0,,0,0,0.02006689,warrior
252,Walton,1,northmen,House Bolton,0,1,1,1,1,0,0,,0,0,0.046822742,smallfolk
253,Walys Flowers,1,Reach,,0,0,0,0,1,0,1,,0,0,0.023411371,official
254,Wat (Barleycorn),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
255,Blue Bard,1,,House Tyrell,0,0,0,1,1,0,0,,0,0,0.053511706,smallfolk
256,Wat (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.003344482,smallfolk
257,Wat (sailor),0,,,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
258,Wat (Standfast),0,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
259,Wat (Wet),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
260,Wate,0,,House Targaryen,0,0,0,0,0,0,0,,0,0,0,warrior
262,Wayn (guard),1,Northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.010033445,smallfolk
263,Weasel,1,,,0,1,0,0,0,0,0,9,0,0,0.016722408,smallfolk
264,Wendell Webber,1,,House Webber,0,0,0,0,0,0,1,,0,0,0.013377926,knight
265,Wendello Qar Deeth,0,Qartheen,,0,1,0,0,0,0,0,,0,0,0.010033445,noble
266,Werlag,0,Ironborn,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
267,Rafford,1,,House Clegane,0,1,1,1,1,0,0,,0,0,0.096989967,smallfolk
269,Sour Alyn,1,,House Bolton,0,0,0,0,1,0,0,,0,0,0.043478261,warrior
270,Tobho Mott,1,Qohor,,1,1,1,1,1,0,0,,0,0,0.08361204,smallfolk
271,Zollo,1,Dothraki,Brave Companions,0,0,1,1,0,0,0,,0,0,0.036789298,smallfolk
272,Tanda Stokeworth,0,,House Stokeworth,1,1,1,1,1,0,1,,1,1,0.113712375,noble
273,Samwell Tarly,1,Westeros,Night's Watch,1,1,1,1,1,0,0,22,0,0,0.969899666,official
274,Abelar Hightower,1,,House Hightower,0,0,0,0,0,0,1,,0,0,0,knight
275,Addam Frey,1,,House Frey,0,0,0,0,0,0,1,,0,0,0.026755853,knight
276,Addam,1,,,0,0,0,0,0,0,1,,0,0,0.006688963,smallfolk
277,Addam Osgrey,1,,House Osgrey,0,0,0,0,0,0,0,13,0,0,0.036789298,warrior
278,Aegon Frey (son of Aenys),1,,House Frey,0,0,0,0,0,0,0,52,0,0,0,noble
279,Aegon Frey (son of Stevron),1,,House Frey,0,0,0,0,0,0,0,50,0,0,0,noble
280,Aegon I Targaryen,1,,,0,0,0,0,0,0,0,,6,1,1,king
281,Aegon II Targaryen,1,,,0,0,0,0,0,0,0,,7,1,0.759197324,king
282,Aegon IV Targaryen,1,,,0,0,0,0,0,0,0,,15,1,0.675585284,king
283,Aegon Targaryen (son of Baelon),1,Valyrian,House Targaryen,0,0,0,0,0,0,1,,0,0,0,noble
284,Aegon III Targaryen,1,Valyrian,,0,0,0,0,0,0,0,,8,1,0.62541806,king
285,Aegon Targaryen (son of Jaehaerys I),0,Valyrian,House Targaryen,0,0,0,0,0,0,1,100,0,0,0,noble
286,Aegon Targaryen (son of Aenys I),1,Valyrian,House Targaryen,0,0,0,0,0,1,1,17,0,0,0,prince
287,Aegon Targaryen (son of Rhaegar),1,Valyrian,House Targaryen,0,0,0,0,0,0,0,2,0,0,0,king
288,Aemon Costayne,1,,House Costayne,0,0,1,0,0,0,0,,0,0,0.010033445,noble
289,Aenys I Targaryen,1,,,0,0,0,0,0,0,0,,5,1,0.571906355,king
290,Aethan,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,warrior
291,Aethelmure,0,,,1,0,0,0,0,0,1,,0,0,0.013377926,official
292,Aggar,1,,House Greyjoy,0,1,0,0,1,0,0,,0,0,0.026755853,smallfolk
293,Agrivane,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
294,Aerys I Targaryen,1,,,0,0,0,0,0,0,0,,3,1,0.622073579,king
295,Alaric of Eysen,0,,,0,0,1,1,0,0,0,,0,0,0.016722408,smallfolk
296,Aerys II Targaryen,1,,,0,0,0,0,0,0,0,,10,1,1,king
297,Alebelly,1,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.030100334,smallfolk
298,Alequo Adarys,1,Tyroshi,Band of Nine,0,0,0,0,0,0,0,,0,0,0.013377926,king
299,Alester Oakheart,1,,House Oakheart,0,0,0,1,0,0,0,,0,0,0.016722408,noble
300,Alia,0,,,0,0,0,0,0,0,0,,0,0,0,smallfolk
301,All-for-Joffrey,1,,,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
303,Allyria Dayne,0,,House Dayne,0,0,1,0,0,0,0,,0,0,0.023411371,noble
304,Alicent Hightower,0,,House Hightower,0,0,0,0,0,1,1,45,4,1,0.267558528,official
305,Alyce,1,,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk
306,Alvyn Sharp,1,Ironborn,House Sharp,0,0,0,1,0,0,0,,0,0,0.010033445,warrior
307,Alyn Hunt,1,,House Hunt,0,0,0,1,0,0,1,,0,0,0.013377926,noble
308,Alys Arryn,0,,House Arryn,0,0,0,1,0,1,0,,1,1,0.080267559,noble
309,Alysanne Bracken,0,,House Bracken,0,0,0,0,1,0,0,,0,0,0.033444816,noble
310,Alyn Velaryon,1,Valyrian,House Velaryon,0,0,0,1,1,1,1,56,0,0,0.160535117,lord
311,Alysanne Osgrey,0,,House Osgrey,0,0,0,0,0,0,0,21,0,0,0.026755853,noble
312,Alyssa Arryn,0,,House Arryn,1,0,0,0,0,0,0,,0,0,0.006688963,noble
313,Alysanne Hightower,0,,House Hightower,0,0,0,1,0,1,0,,0,0,0.056856187,noble
314,Amabel,0,,House Whent,0,1,1,0,0,0,0,,0,0,0.003344482,smallfolk
315,Ambrode,0,Ironborn,,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk
316,Andrey Dalt,0,Dornish,House Dalt,0,0,0,1,0,0,1,,0,0,0.036789298,knight
317,Andrey Charlton,1,,House Charlton,0,1,0,0,0,0,1,,0,0,0.013377926,knight
318,Argrave the Defiant,1,,House Butterwell,0,0,0,0,0,0,1,,0,0,0.013377926,knight
319,Armen,1,,,0,0,0,1,0,0,0,,0,0,0.030100334,smallfolk
320,Arneld,1,,,0,1,0,0,0,0,1,,0,0,0.003344482,knight
321,Arnell,1,,Night's Watch,0,1,0,0,0,0,1,,0,0,0.006688963,knight
322,Arrec Durrandon,1,,,0,0,0,0,0,0,0,,0,0,0,king
323,Arron,1,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.043478261,warrior
324,Arryk (guard),0,,House Tyrell,0,0,0,0,0,0,0,,0,0,0,smallfolk
325,Arron Qorgyle,1,,House Qorgyle,0,0,1,1,0,0,1,,0,0,0.023411371,noble
326,Arson,1,Free Folk,,0,0,1,0,0,0,0,,0,0,0,smallfolk
327,Aubrey Ambrose,1,,House Ambrose,0,0,0,0,0,0,1,,0,0,0.006688963,knight
328,Ayrmidon,0,Valyrian,,1,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
329,Baelon Targaryen (son of Viserys I),1,Valyrian,House Targaryen,0,0,0,0,0,0,1,0,0,0,0.100334448,noble
330,Baelon Targaryen (son of Aerys),0,Valyrian,House Targaryen,0,0,0,0,0,0,1,,0,0,0.043478261,lord
331,Balon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.050167224,noble
332,Baelor Targaryen (son of Daeron II),1,,House Targaryen,0,0,1,0,0,1,1,39,3,1,0.474916388,prince
333,Bandy,0,Northmen,House Stark,0,1,0,1,0,0,0,,0,0,0.02006689,smallfolk
334,Bannen,1,,Night's Watch,0,1,1,0,0,0,0,,0,0,0.033444816,warrior
335,Barre,1,,,0,1,0,0,0,0,0,,0,0,0.013377926,official
336,Barbara Bracken,0,,House Bracken,0,0,0,0,1,0,0,,0,0,0.030100334,noble
337,Barth (brewer),1,,House Stark,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk
338,Bass,0,,Night's Watch,1,0,0,0,0,0,0,,0,0,0,smallfolk
339,Bearded Ben,1,,Night's Watch,0,0,0,1,1,0,0,,0,0,0.023411371,warrior
340,Becca,1,,House Arryn,1,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
341,Beck,1,,,0,0,1,0,0,0,1,6,0,0,0,smallfolk
342,Belandra,0,,House Martell,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
343,Beldecar,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
344,Belis,1,,Alchemists' Guild,0,0,1,0,0,0,1,,0,0,0.02006689,warrior
345,Bellonara Otherys,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
346,Bella,0,,,0,0,1,1,0,0,0,22,0,0,0.08361204,smallfolk
347,Ben,1,,,0,0,0,1,0,0,0,12,0,0,0.010033445,smallfolk
348,Ben Blackthumb,1,,House Whent,0,1,0,1,0,0,0,,0,0,0.026755853,smallfolk
349,Ben Bones,1,,House Bolton,0,0,0,0,1,0,0,,0,0,0.033444816,official
350,Ben Bushy,0,,House Bushy,0,0,0,1,0,0,1,,0,0,0.023411371,knight
351,Benedict,0,,,0,0,0,1,0,0,1,,0,0,0.013377926,official
352,Benjen Stark (Bitter),1,Northmen,,0,1,0,0,0,0,0,,0,0,0.013377926,king
353,Benjen Stark (Sweet),1,Northmen,,0,1,0,0,0,0,0,,0,0,0.013377926,king
354,Bennet,0,,,0,0,0,1,0,0,0,,0,0,0.006688963,official
355,Bennis,1,,House Osgrey,0,0,0,0,0,0,1,,0,0,0.036789298,knight
357,Bennarion Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble
358,Beron Blacktyde,0,,House Blacktyde,0,0,0,1,1,0,0,,0,0,0.016722408,official
359,Bertram Beesbury,1,,House Beesbury,0,0,1,0,0,0,1,,0,0,0.003344482,knight
360,Bessa,1,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
361,Bessa (Winterfell),0,Northmen,,1,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
362,Bess Bracken,0,,House Bracken,0,0,0,0,1,0,0,,0,0,0.030100334,noble
363,Bethany (Blushing Bethany),0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk
364,Bethany Fair-Fingers,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
365,Bharbo,0,Dothraki,,1,0,0,0,0,0,0,,2,1,0.003344482,warrior
366,Big Boil,1,Free Folk,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk
367,Blind Doss,0,Free folk,,0,0,0,0,0,0,0,,0,0,0,smallfolk
368,Blane,1,,Night's Watch,0,1,1,0,0,0,0,,0,0,0.02006689,warrior
369,Bodger,0,Free Folk,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk
370,Borcas,1,,Night's Watch,1,0,0,0,0,0,0,,0,0,0,smallfolk
371,Bors,1,,House Martell,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
372,Borroq,1,Free folk,,0,0,0,0,1,0,0,,0,0,0.026755853,warrior
373,Boy,1,,,0,0,1,1,0,0,0,21,0,0,0.010033445,smallfolk
374,Brandon Stark (Bad),1,Northmen,House Stark,0,1,0,0,0,0,1,,0,0,0.016722408,king
375,Brandon Stark (Burner),1,Northmen,,1,1,0,0,0,0,0,,0,0,0.033444816,king
376,Brandon Stark (the daughterless),1,Northmen,House Stark,0,1,0,0,0,0,1,,0,0,0.033444816,noble
377,Brandon Stark (son of Cregan),1,Northmen,House Stark,0,1,0,0,0,1,1,,0,0,0.143812709,lord
378,Brandon Stark (Shipwright),1,Northmen,,1,1,0,0,0,0,0,,0,0,0.036789298,king
379,Brea,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.023411371,smallfolk
380,Brella,0,,House Baratheon,0,0,1,1,0,0,0,,0,0,0.016722408,smallfolk
381,Brenett,1,,House Frey,0,0,1,0,0,0,1,,0,0,0.003344482,official
382,Briar,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.010033445,warrior
383,Brogg,1,Free Folk,,0,0,0,0,1,0,0,,0,0,0.006688963,smallfolk
384,Brusco,1,Braavosi,,0,0,0,1,1,0,0,,0,0,0.046822742,smallfolk
385,Brown Bernarr,0,,Night's Watch,0,1,1,0,0,0,0,,0,0,0.023411371,warrior
386,Bryan of Oldtown,0,Reach,,0,0,0,0,0,0,0,,0,0,0.003344482,warrior
387,Bryen,1,,House Baelish,0,0,1,0,0,0,0,85,0,0,0.016722408,warrior
388,Buford Bulwer,1,,House Bulwer,0,0,0,0,0,0,1,,0,0,0.016722408,knight
389,Bump,1,Free folk,,0,0,0,0,1,0,0,,0,0,0.023411371,smallfolk
390,Buu,0,,,1,0,0,0,0,0,0,,0,0,0,smallfolk
391,Byan Votyris,1,Norvoshi,,1,0,0,0,0,0,0,,0,0,0,warrior
392,Byam Flint,1,,Night's Watch,0,0,1,0,0,0,1,,0,0,0.02006689,noble
393,Byren Flowers,1,,,0,0,0,0,0,0,1,,0,0,0.006688963,knight
394,Byron,0,,House Baelish,0,0,0,1,1,0,1,,0,0,0.02006689,knight
395,Cadwyl,1,Ironborn,House Greyjoy,0,1,1,0,0,0,0,,0,0,0.010033445,warrior
396,Lord Cafferen,1,,House Cafferen,0,0,1,0,0,0,1,,0,0,0.02006689,warrior
397,Calon,0,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
398,Cadwyn,0,,House Lannister,0,1,0,0,0,0,1,,0,0,0,knight
399,Canker Jeyne,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk
400,Carellen Smallwood,0,,House Smallwood,0,0,1,1,0,0,0,,0,0,0.036789298,noble
401,Cass,0,,,0,0,1,1,0,0,0,,0,0,0.016722408,smallfolk
402,Carrot,0,,House Royce of the Gates of the Moon,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk
403,Castos,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
404,Cedra,0,,House Martell,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
405,Catelyn Bracken,0,,House Bracken,0,0,0,0,1,0,0,,0,0,0.030100334,noble
406,Cedric Payne,1,,House Payne,0,0,0,1,0,0,1,,0,0,0.013377926,knight
407,Cedrik Storm,0,,House Buckler,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk
408,Cerrick,1,Ironborn,House Webber,0,0,0,0,0,0,1,,0,0,0.006688963,official
409,Cetheres,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
410,Catelyn Stark,0,Rivermen,House Tully,0,0,0,0,0,1,1,35,7,1,0,noble
411,Cheyk,0,,Black Ears,1,1,0,0,1,0,0,,0,0,0.013377926,smallfolk
412,Chiggen,1,,,1,0,0,0,0,0,0,,0,0,0.016722408,smallfolk
413,Clarence Crabb,1,,House Crabb,0,0,0,1,0,0,1,,0,0,0.026755853,knight
414,Clarence Charlton,0,,House Charlton,0,0,0,0,0,0,1,,0,0,0.013377926,knight
415,Clarence Crabb (Short),1,,House Crabb,0,0,0,1,0,0,1,,0,0,0.006688963,knight
416,Clement,1,,,0,0,0,1,0,0,1,54,0,0,0.013377926,smallfolk
417,Cleyton Caswell,0,,House Caswell,0,0,0,0,0,0,1,,0,0,0.003344482,knight
418,Clifford Conklyn,1,,House Conklyn,0,0,0,0,0,0,1,,0,0,0.006688963,noble
419,Colen of Greenpools,1,,House Baratheon,0,1,0,0,0,0,1,,0,0,0.016722408,knight
420,Collio Quaynis,1,Tyroshi,,0,0,1,0,0,0,0,,0,0,0.016722408,smallfolk
421,Conn,1,Vale mountain clans,Stone Crows,1,0,0,0,0,0,0,,0,0,0.013377926,smallfolk
422,Coratt,1,Vale mountain clans,Stone Crows,1,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
423,Cosgrove,0,,House Butterwell,0,0,0,0,0,0,1,,0,0,0,smallfolk
424,Cossomo,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,magician
425,Courtenay Greenhill,0,,House Greenhill,0,0,0,1,0,0,1,,0,0,0,knight
426,Cregan Karstark,1,Northmen,House Karstark,0,0,0,0,1,0,0,56,0,0,0.066889632,noble
427,Cutjack,1,,,0,1,0,0,0,0,0,,0,0,0.033444816,warrior
428,Dacks,1,,House Redfort,1,0,0,0,0,0,0,,0,0,0,noble
429,Daella Targaryen (daughter of Jaehaerys I),0,Valyrian,House Targaryen,0,0,0,0,0,1,1,28,0,0,0.086956522,noble
430,Daella Targaryen (daughter of Maekar I),1,Valyrian,House Targaryen,0,0,0,0,0,0,1,100,0,0,0.080267559,noble
431,Daenerys Targaryen (daughter of Aegon IV),0,,House Targaryen,0,0,0,0,1,1,1,100,10,1,0.093645485,noble
432,Daeron I Targaryen,1,,,0,0,0,0,0,0,0,,7,1,0.518394649,king
433,Daena Targaryen,0,Valyrian,House Targaryen,0,0,0,0,0,1,1,100,7,1,0.227424749,official
434,Daeryssa,0,,,1,0,0,0,0,0,1,,0,0,0.006688963,noble
435,Daeron Targaryen (son of Viserys I),1,,House Targaryen,0,0,0,0,0,0,1,16,0,0,0.227424749,knight
436,Dagon Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,0,0,0,,0,0,0.016722408,noble
437,Daeron Targaryen (son of Maekar I),1,,House Targaryen,0,1,0,1,0,1,1,31,0,0,0.130434783,prince
438,Daeron II Targaryen,1,,,0,0,0,0,0,0,0,,10,1,0.765886288,king
439,Dake,1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.010033445,smallfolk
440,Dale Drumm,0,,House Drumm,0,0,0,1,0,0,0,,0,0,0.010033445,noble
441,Dalla (Dragonstone),0,,House Baratheon of Dragonstone,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
442,Damon Lannister (lord),1,Westerman,House Lannister,0,0,0,0,0,1,1,,0,0,0,lord
443,Dan,1,Free Folk,,0,0,1,1,0,0,0,,0,0,0.003344482,smallfolk
444,Damon Lannister (son of Jason),1,,House Lannister,0,0,0,0,0,1,0,61,0,0,0.060200669,noble
445,Darla Deddings,0,,House Deddings,0,0,0,0,0,0,1,,0,0,0.010033445,noble
446,Danos Slynt,1,,House Slynt,0,0,1,0,0,0,0,,0,0,0.023411371,noble
447,Daughter of the Dusk,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
448,Del,0,Free Folk,,0,0,1,1,0,0,0,16,0,0,0.013377926,smallfolk
449,Denestan,0,,,0,0,0,1,0,0,1,,0,0,0.010033445,official
450,Denyo Terys,1,Braavosi,,0,0,0,1,0,0,0,18,0,0,0.016722408,smallfolk
451,Dennis Plumm,1,,House Plumm,0,0,1,1,0,0,1,,0,0,0.026755853,knight
452,Denys Drumm,1,Ironborn,House Drumm,0,0,0,1,0,0,0,,0,0,0.016722408,warrior
453,Denys Redwyne,1,,House Redwyne,0,0,0,1,0,0,0,,0,0,0.073578595,noble
454,Denyse Hightower,0,,House Hightower,0,0,0,1,0,1,0,,0,0,0.073578595,noble
455,Dhazzar,0,Ghiscari,,0,0,0,0,1,0,1,,0,0,0.013377926,noble
456,Dick Follard,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.030100334,warrior
457,Dickon Manwoody,1,,House Manwoody,0,0,1,1,0,0,0,,0,0,0.026755853,noble
458,Dobber,1,,,0,1,0,0,0,0,0,,0,0,0.026755853,warrior
459,Donnel Drumm,1,Ironborn,House Drumm,0,0,0,1,0,0,0,,0,0,0.016722408,warrior
460,Donel Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.060200669,noble
461,Donella Hornwood,0,Northmen,House Manderly,0,1,0,0,1,1,1,50,0,0,0.096989967,lord
462,Donnel Hill,1,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.043478261,noble
463,Donnis,0,Northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
464,Donyse,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk
465,Dorcas,0,,House Lannister,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
466,Dornish Dilly,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.003344482,warrior
467,Dorren Stark,1,Northmen,,0,1,0,0,0,0,0,,0,0,0.013377926,king
468,Draqaz,0,Ghiscari,,0,0,0,0,1,0,1,,0,0,0.016722408,noble
469,Drennan,1,Ironborn,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.013377926,warrior
470,Dudley,1,,,0,0,1,0,0,0,1,,0,0,0,knight
471,Dryn,1,Free Folk,,0,0,1,1,1,0,0,,0,0,0.016722408,smallfolk
472,Dunaver,0,,House Lannister,0,1,0,0,0,0,1,,0,0,0.006688963,knight
473,Durran,1,First Men,,0,0,0,0,0,0,0,,0,0,0.043478261,king
474,Dyah,0,Free Folk,,0,0,1,1,0,1,0,,0,0,0.016722408,noble
475,Dykk Harlaw,1,,House Harlaw,0,1,0,0,0,0,0,,0,0,0.010033445,noble
476,Easy,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk
477,Duncan Targaryen,1,,House Targaryen,0,0,1,1,1,1,1,39,6,1,0.140468227,prince
478,Edgerran Oakheart,1,,House Oakheart,0,0,0,1,0,0,1,,0,0,0.006688963,noble
479,Eden Risley,1,,House Risley,0,0,0,0,0,0,1,,0,0,0.003344482,noble
480,Edmund Ambrose,0,,House Ambrose,0,0,0,1,0,0,1,,0,0,0.023411371,knight
481,Edwyn Osgrey,1,,House Osgrey,0,0,0,0,0,0,1,,0,0,0.02006689,knight
482,Eggon,1,,House Clegane,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
483,Eglantine,0,,Faith of the Seven,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
484,Egon Emeros,0,Qartheen,Pureborn,0,1,0,0,1,0,0,,0,0,0.013377926,noble
485,Eldiss,1,Ironborn,,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
486,Eldred Codd,1,Ironborn,House Codd,0,0,0,1,0,0,0,,0,0,0.016722408,warrior
487,Elaena Targaryen,0,Valyrian,House Targaryen,0,0,0,0,0,1,1,70,7,1,0.137123746,noble
488,Elys Westerling,0,,House Westerling,0,0,1,0,0,0,1,,0,0,0.013377926,knight
489,Elyas Willum,1,,House Willum,0,1,0,0,0,0,0,,0,0,0.013377926,knight
490,Elza,0,Meereenese,House of Galare,0,0,0,0,1,0,0,,0,0,0.010033445,smallfolk
491,Emma,0,,,0,0,0,1,0,0,0,45,0,0,0.016722408,smallfolk
492,Elys Waynwood,0,,House Waynwood,0,0,0,1,0,1,1,,0,0,0.070234114,noble
493,Emrick,1,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.043478261,warrior
494,Endehar,0,,,0,1,0,0,0,0,0,,0,0,0,smallfolk
495,Emphyria Vance,0,,House Vance of Wayfarer's Rest,0,0,0,1,0,0,0,,0,0,0.016722408,noble
496,Enger,0,,House Tully,0,1,0,0,0,0,0,,0,0,0,smallfolk
497,Erik Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,1,1,1,94,0,0,0.050167224,warrior
498,Erreck,1,,,0,0,1,0,0,0,1,,0,0,0.003344482,official
499,Erreg,0,Andal,,0,0,1,0,0,0,1,,0,0,0.016722408,king
500,Errok,1,Free Folk,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk
501,Erryk (guard),0,,House Tyrell,0,0,0,0,0,0,0,,0,0,0,smallfolk
502,Esgred,1,,,0,1,0,0,0,0,0,,0,0,0,smallfolk
503,Eustace (Braavos),0,,Faith of the Seven,0,0,0,1,0,0,0,,0,0,0.010033445,official
504,Eustace (Dance of the Dragons),1,,Faith of the Seven,0,0,0,0,0,0,0,,0,0,0.036789298,official
505,Ezzara,0,Ghiscari,,0,0,0,0,1,0,1,,0,0,0.006688963,smallfolk
506,Euron Greyjoy,1,Ironborn,,0,0,0,0,0,0,0,,4,1,0.739130435,king
507,Ezzelyno,0,Braavosi,R'hllor,0,0,0,1,0,0,1,,0,0,0.013377926,official
508,Fern,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
509,Ferny,0,Free Folk,,0,0,1,1,0,1,0,,0,0,0.016722408,noble
510,Ferret,0,,,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
511,Fogo,1,Dothraki,,1,0,0,0,0,0,1,,0,0,0.02006689,warrior
512,Fornio,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,warrior
513,Fralegg,1,Ironborn,,0,0,0,1,0,0,0,,0,0,0.006688963,warrior
514,Frenya,1,Free Folk,,0,0,0,0,1,0,0,,0,0,0.043478261,warrior
515,Frynne,0,,,0,0,0,1,0,0,0,,0,0,0,smallfolk
516,Gage,0,,House Stark,1,1,1,0,0,0,0,,0,0,0.033444816,smallfolk
517,Galladon of Morne,1,,,0,0,0,0,0,0,1,,0,0,0,knight
518,Gallard,0,,,0,0,0,1,0,0,1,,0,0,0.010033445,official
519,Galt,0,Vale mountain clans,Stone Crows,0,1,0,1,0,0,0,,0,0,0.003344482,smallfolk
520,Galtry the Green,1,,,0,0,0,0,0,0,1,,0,0,0.013377926,knight
521,Galyeon of Cuy,1,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
522,Gareth the Grey,1,,,0,0,0,0,0,0,1,,0,0,0.003344482,knight
523,Garigus,1,,Alchemists' Guild,0,0,1,0,0,0,1,,0,0,0.02006689,warrior
524,Garizon,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
525,Gariss,1,,House Stark,0,1,0,0,0,0,0,,0,0,0,smallfolk
526,Garrett Paege,1,,House Paege,0,0,0,1,1,0,0,,0,0,0.013377926,noble
527,Garth XII Gardener,0,,,0,0,0,0,0,0,0,,0,0,0.013377926,king
528,Garth of Oldtown,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.02006689,warrior
529,Gascoyne,0,,House Martell,0,0,0,1,1,0,1,,0,0,0.013377926,knight
530,Gavin,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.006688963,warrior
531,Gelmarr,1,,House Greyjoy,0,1,0,0,1,0,0,,0,0,0.026755853,smallfolk
532,Gerren,0,,,0,1,0,0,0,0,0,,0,0,0.016722408,warrior
533,Gerold Lannister,1,Westerman,House Lannister,0,0,0,0,0,1,1,,0,0,0.086956522,lord
534,Ghael,1,Astapori,,0,0,1,0,1,0,1,,0,0,0.023411371,lord
